Date,Value,Type,Year
2010 OCT,440,Private Sector,2010
2010 NOV,441,Private Sector,2010
2010 DEC,438,Private Sector,2010
2011 JAN,453,Private Sector,2011
2011 FEB,447,Private Sector,2011
2011 MAR,446,Private Sector,2011
2011 APR,443,Private Sector,2011
2011 MAY,446,Private Sector,2011
2011 JUN,447,Private Sector,2011
2011 JUL,448,Private Sector,2011
2011 AUG,447,Private Sector,2011
2011 SEP,448,Private Sector,2011
2011 OCT,449,Private Sector,2011
2011 NOV,450,Private Sector,2011
2011 DEC,449,Private Sector,2011
2012 JAN,451,Private Sector,2012
2012 FEB,450,Private Sector,2012
2012 MAR,450,Private Sector,2012
2012 APR,453,Private Sector,2012
2012 MAY,453,Private Sector,2012
2012 JUN,455,Private Sector,2012
2012 JUL,456,Private Sector,2012
2012 AUG,456,Private Sector,2012
2012 SEP,455,Private Sector,2012
2012 OCT,454,Private Sector,2012
2012 NOV,456,Private Sector,2012
2012 DEC,453,Private Sector,2012
2013 JAN,455,Private Sector,2013
2013 FEB,456,Private Sector,2013
2013 MAR,447,Private Sector,2013
2013 APR,472,Private Sector,2013
2013 MAY,462,Private Sector,2013
2013 JUN,460,Private Sector,2013
2013 JUL,460,Private Sector,2013
2013 AUG,461,Private Sector,2013
2013 SEP,460,Private Sector,2013
2013 OCT,460,Private Sector,2013
2013 NOV,460,Private Sector,2013
2013 DEC,462,Private Sector,2013
2014 JAN,464,Private Sector,2014
2014 FEB,467,Private Sector,2014
2014 MAR,453,Private Sector,2014
2014 APR,464,Private Sector,2014
2014 MAY,465,Private Sector,2014
2014 JUN,468,Private Sector,2014
2014 JUL,461,Private Sector,2014
2014 AUG,465,Private Sector,2014
2014 SEP,469,Private Sector,2014
2014 OCT,471,Private Sector,2014
2014 NOV,471,Private Sector,2014
2014 DEC,475,Private Sector,2014
2015 JAN,471,Private Sector,2015
2015 FEB,475,Private Sector,2015
2015 MAR,476,Private Sector,2015
2015 APR,478,Private Sector,2015
2015 MAY,479,Private Sector,2015
2015 JUN,479,Private Sector,2015
2015 JUL,481,Private Sector,2015
2015 AUG,482,Private Sector,2015
2015 SEP,479,Private Sector,2015
2015 OCT,480,Private Sector,2015
2015 NOV,481,Private Sector,2015
2015 DEC,484,Private Sector,2015
2016 JAN,486,Private Sector,2016
2016 FEB,482,Private Sector,2016
2016 MAR,489,Private Sector,2016
2016 APR,491,Private Sector,2016
2016 MAY,491,Private Sector,2016
2016 JUN,491,Private Sector,2016
2016 JUL,494,Private Sector,2016
2016 AUG,492,Private Sector,2016
2016 SEP,492,Private Sector,2016
2016 OCT,495,Private Sector,2016
2016 NOV,496,Private Sector,2016
2016 DEC,493,Private Sector,2016
2017 JAN,495,Private Sector,2017
2017 FEB,497,Private Sector,2017
2017 MAR,501,Private Sector,2017
2017 APR,501,Private Sector,2017
2017 MAY,501,Private Sector,2017
2017 JUN,507,Private Sector,2017
2017 JUL,502,Private Sector,2017
2017 AUG,505,Private Sector,2017
2017 SEP,507,Private Sector,2017
2017 OCT,506,Private Sector,2017
2017 NOV,508,Private Sector,2017
2017 DEC,510,Private Sector,2017
2018 JAN,508,Private Sector,2018
2018 FEB,511,Private Sector,2018
2018 MAR,518,Private Sector,2018
2018 APR,512,Private Sector,2018
2018 MAY,514,Private Sector,2018
2018 JUN,517,Private Sector,2018
2018 JUL,519,Private Sector,2018
2018 AUG,522,Private Sector,2018
2018 SEP,522,Private Sector,2018
2018 OCT,529,Private Sector,2018
2018 NOV,524,Private Sector,2018
2018 DEC,527,Private Sector,2018
2019 JAN,528,Private Sector,2019
2019 FEB,530,Private Sector,2019
2019 MAR,532,Private Sector,2019
2019 APR,531,Private Sector,2019
2019 MAY,534,Private Sector,2019
2019 JUN,537,Private Sector,2019
2019 JUL,540,Private Sector,2019
2019 AUG,541,Private Sector,2019
2019 SEP,543,Private Sector,2019
2019 OCT,540,Private Sector,2019
2019 NOV,540,Private Sector,2019
2019 DEC,540,Private Sector,2019
2020 JAN,544,Private Sector,2020
2020 FEB,544,Private Sector,2020
2020 MAR,538,Private Sector,2020
2020 APR,520,Private Sector,2020
2020 MAY,520,Private Sector,2020
2020 JUN,522,Private Sector,2020
2020 JUL,535,Private Sector,2020
2020 AUG,549,Private Sector,2020
2020 SEP,554,Private Sector,2020
2020 OCT,560,Private Sector,2020
2020 NOV,569,Private Sector,2020
2020 DEC,565,Private Sector,2020
2021 JAN,568,Private Sector,2021
2021 FEB,565,Private Sector,2021
2021 MAR,555,Private Sector,2021
2021 APR,573,Private Sector,2021
2021 MAY,578,Private Sector,2021
2021 JUN,575,Private Sector,2021
2021 JUL,580,Private Sector,2021
2021 AUG,584,Private Sector,2021
2021 SEP,585,Private Sector,2021
2021 OCT,586,Private Sector,2021
2021 NOV,590,Private Sector,2021
2021 DEC,602,Private Sector,2021
2022 JAN,602,Private Sector,2022
2022 FEB,604,Private Sector,2022
2022 MAR,618,Private Sector,2022
2022 APR,607,Private Sector,2022
2022 MAY,607,Private Sector,2022
2022 JUN,617,Private Sector,2022
2022 JUL,619,Private Sector,2022
2022 AUG,624,Private Sector,2022
2022 SEP,626,Private Sector,2022
2001 JAN,322,Public Sector,2001
2001 FEB,324,Public Sector,2001
2001 MAR,325,Public Sector,2001
2001 APR,328,Public Sector,2001
2001 MAY,329,Public Sector,2001
2001 JUN,330,Public Sector,2001
2001 JUL,332,Public Sector,2001
2001 AUG,333,Public Sector,2001
2001 SEP,334,Public Sector,2001
2001 OCT,335,Public Sector,2001
2001 NOV,335,Public Sector,2001
2001 DEC,336,Public Sector,2001
2002 JAN,337,Public Sector,2002
2002 FEB,338,Public Sector,2002
2002 MAR,340,Public Sector,2002
2002 APR,340,Public Sector,2002
2002 MAY,342,Public Sector,2002
2002 JUN,342,Public Sector,2002
2002 JUL,345,Public Sector,2002
2002 AUG,341,Public Sector,2002
2002 SEP,345,Public Sector,2002
2002 OCT,347,Public Sector,2002
2002 NOV,349,Public Sector,2002
2002 DEC,353,Public Sector,2002
2003 JAN,351,Public Sector,2003
2003 FEB,353,Public Sector,2003
2003 MAR,354,Public Sector,2003
2003 APR,355,Public Sector,2003
2003 MAY,355,Public Sector,2003
2003 JUN,359,Public Sector,2003
2003 JUL,361,Public Sector,2003
2003 AUG,362,Public Sector,2003
2003 SEP,364,Public Sector,2003
2003 OCT,364,Public Sector,2003
2003 NOV,366,Public Sector,2003
2003 DEC,369,Public Sector,2003
2004 JAN,367,Public Sector,2004
2004 FEB,369,Public Sector,2004
2004 MAR,370,Public Sector,2004
2004 APR,372,Public Sector,2004
2004 MAY,372,Public Sector,2004
2004 JUN,374,Public Sector,2004
2004 JUL,375,Public Sector,2004
2004 AUG,375,Public Sector,2004
2004 SEP,379,Public Sector,2004
2004 OCT,381,Public Sector,2004
2004 NOV,382,Public Sector,2004
2004 DEC,385,Public Sector,2004
2005 JAN,385,Public Sector,2005
2005 FEB,385,Public Sector,2005
2005 MAR,390,Public Sector,2005
2005 APR,391,Public Sector,2005
2005 MAY,393,Public Sector,2005
2005 JUN,394,Public Sector,2005
2005 JUL,396,Public Sector,2005
2005 AUG,398,Public Sector,2005
2005 SEP,399,Public Sector,2005
2005 OCT,401,Public Sector,2005
2005 NOV,402,Public Sector,2005
2005 DEC,402,Public Sector,2005
2006 JAN,403,Public Sector,2006
2006 FEB,406,Public Sector,2006
2006 MAR,403,Public Sector,2006
2006 APR,406,Public Sector,2006
2006 MAY,407,Public Sector,2006
2006 JUN,408,Public Sector,2006
2006 JUL,410,Public Sector,2006
2006 AUG,410,Public Sector,2006
2006 SEP,410,Public Sector,2006
2006 OCT,412,Public Sector,2006
2006 NOV,413,Public Sector,2006
2006 DEC,415,Public Sector,2006
2007 JAN,418,Public Sector,2007
2007 FEB,417,Public Sector,2007
2007 MAR,418,Public Sector,2007
2007 APR,419,Public Sector,2007
2007 MAY,422,Public Sector,2007
2007 JUN,422,Public Sector,2007
2007 JUL,421,Public Sector,2007
2007 AUG,423,Public Sector,2007
2007 SEP,424,Public Sector,2007
2007 OCT,425,Public Sector,2007
2007 NOV,427,Public Sector,2007
2007 DEC,429,Public Sector,2007
2008 JAN,430,Public Sector,2008
2008 FEB,432,Public Sector,2008
2008 MAR,433,Public Sector,2008
2008 APR,437,Public Sector,2008
2008 MAY,435,Public Sector,2008
2008 JUN,434,Public Sector,2008
2008 JUL,439,Public Sector,2008
2008 AUG,439,Public Sector,2008
2008 SEP,440,Public Sector,2008
2008 OCT,441,Public Sector,2008
2008 NOV,442,Public Sector,2008
2008 DEC,442,Public Sector,2008
2009 JAN,443,Public Sector,2009
2009 FEB,446,Public Sector,2009
2009 MAR,442,Public Sector,2009
2009 APR,450,Public Sector,2009
2009 MAY,447,Public Sector,2009
2009 JUN,451,Public Sector,2009
2009 JUL,453,Public Sector,2009
2009 AUG,455,Public Sector,2009
2009 SEP,457,Public Sector,2009
2009 OCT,457,Public Sector,2009
2009 NOV,459,Public Sector,2009
2009 DEC,457,Public Sector,2009
2010 JAN,461,Public Sector,2010
2010 FEB,463,Public Sector,2010
2010 MAR,467,Public Sector,2010
2010 APR,465,Public Sector,2010
2010 MAY,467,Public Sector,2010
2010 JUN,466,Public Sector,2010
2010 JUL,466,Public Sector,2010
2010 AUG,467,Public Sector,2010
2010 SEP,469,Public Sector,2010
2010 OCT,471,Public Sector,2010
2010 NOV,472,Public Sector,2010
2010 DEC,474,Public Sector,2010
2011 JAN,478,Public Sector,2011
2011 FEB,476,Public Sector,2011
2011 MAR,479,Public Sector,2011
2011 APR,478,Public Sector,2011
2011 MAY,477,Public Sector,2011
2011 JUN,482,Public Sector,2011
2011 JUL,482,Public Sector,2011
2011 AUG,478,Public Sector,2011
2011 SEP,479,Public Sector,2011
2011 OCT,480,Public Sector,2011
2011 NOV,480,Public Sector,2011
2011 DEC,480,Public Sector,2011
2012 JAN,481,Public Sector,2012
2012 FEB,482,Public Sector,2012
2012 MAR,484,Public Sector,2012
2012 APR,484,Public Sector,2012
2012 MAY,485,Public Sector,2012
2012 JUN,486,Public Sector,2012
2012 JUL,487,Public Sector,2012
2012 AUG,495,Public Sector,2012
2012 SEP,490,Public Sector,2012
2012 OCT,489,Public Sector,2012
2012 NOV,489,Public Sector,2012
2012 DEC,490,Public Sector,2012
2013 JAN,490,Public Sector,2013
2013 FEB,487,Public Sector,2013
2013 MAR,490,Public Sector,2013
2013 APR,491,Public Sector,2013
2013 MAY,492,Public Sector,2013
2013 JUN,486,Public Sector,2013
2013 JUL,488,Public Sector,2013
2013 AUG,488,Public Sector,2013
2013 SEP,487,Public Sector,2013
2013 OCT,489,Public Sector,2013
2013 NOV,489,Public Sector,2013
2013 DEC,489,Public Sector,2013
2014 JAN,490,Public Sector,2014
2014 FEB,490,Public Sector,2014
2014 MAR,499,Public Sector,2014
2014 APR,491,Public Sector,2014
2014 MAY,491,Public Sector,2014
2014 JUN,492,Public Sector,2014
2014 JUL,492,Public Sector,2014
2014 AUG,491,Public Sector,2014
2014 SEP,492,Public Sector,2014
2014 OCT,492,Public Sector,2014
2014 NOV,492,Public Sector,2014
2014 DEC,494,Public Sector,2014
2015 JAN,493,Public Sector,2015
2015 FEB,495,Public Sector,2015
2015 MAR,495,Public Sector,2015
2015 APR,495,Public Sector,2015
2015 MAY,497,Public Sector,2015
2015 JUN,496,Public Sector,2015
2015 JUL,496,Public Sector,2015
2015 AUG,497,Public Sector,2015
2015 SEP,501,Public Sector,2015
2015 OCT,498,Public Sector,2015
2015 NOV,500,Public Sector,2015
2015 DEC,499,Public Sector,2015
2016 JAN,501,Public Sector,2016
2016 FEB,502,Public Sector,2016
2016 MAR,502,Public Sector,2016
2016 APR,505,Public Sector,2016
2016 MAY,504,Public Sector,2016
2016 JUN,506,Public Sector,2016
2016 JUL,503,Public Sector,2016
2016 AUG,507,Public Sector,2016
2016 SEP,506,Public Sector,2016
2016 OCT,505,Public Sector,2016
2016 NOV,507,Public Sector,2016
2016 DEC,507,Public Sector,2016
2017 JAN,507,Public Sector,2017
2017 FEB,508,Public Sector,2017
2017 MAR,509,Public Sector,2017
2017 APR,509,Public Sector,2017
2017 MAY,514,Public Sector,2017
2017 JUN,511,Public Sector,2017
2017 JUL,512,Public Sector,2017
2017 AUG,515,Public Sector,2017
2017 SEP,514,Public Sector,2017
2017 OCT,516,Public Sector,2017
2017 NOV,516,Public Sector,2017
2017 DEC,517,Public Sector,2017
2018 JAN,519,Public Sector,2018
2018 FEB,521,Public Sector,2018
2018 MAR,520,Public Sector,2018
2018 APR,521,Public Sector,2018
2018 MAY,523,Public Sector,2018
2018 JUN,524,Public Sector,2018
2018 JUL,527,Public Sector,2018
2018 AUG,530,Public Sector,2018
2018 SEP,528,Public Sector,2018
2018 OCT,530,Public Sector,2018
2018 NOV,531,Public Sector,2018
2018 DEC,532,Public Sector,2018
2019 JAN,533,Public Sector,2019
2019 FEB,532,Public Sector,2019
2019 MAR,534,Public Sector,2019
2019 APR,544,Public Sector,2019
2019 MAY,542,Public Sector,2019
2019 JUN,544,Public Sector,2019
2019 JUL,547,Public Sector,2019
2019 AUG,545,Public Sector,2019
2019 SEP,546,Public Sector,2019
2019 OCT,547,Public Sector,2019
2019 NOV,548,Public Sector,2019
2019 DEC,549,Public Sector,2019
2020 JAN,549,Public Sector,2020
2020 FEB,551,Public Sector,2020
2020 MAR,552,Public Sector,2020
2020 APR,560,Public Sector,2020
2020 MAY,568,Public Sector,2020
2020 JUN,569,Public Sector,2020
2020 JUL,564,Public Sector,2020
2020 AUG,566,Public Sector,2020
2020 SEP,570,Public Sector,2020
2020 OCT,569,Public Sector,2020
2020 NOV,573,Public Sector,2020
2020 DEC,574,Public Sector,2020
2021 JAN,578,Public Sector,2021
2021 FEB,583,Public Sector,2021
2021 MAR,581,Public Sector,2021
2021 APR,581,Public Sector,2021
2021 MAY,583,Public Sector,2021
2021 JUN,581,Public Sector,2021
2021 JUL,581,Public Sector,2021
2021 AUG,582,Public Sector,2021
2021 SEP,584,Public Sector,2021
2021 OCT,586,Public Sector,2021
2021 NOV,587,Public Sector,2021
2021 DEC,589,Public Sector,2021
2022 JAN,589,Public Sector,2022
2022 FEB,590,Public Sector,2022
2022 MAR,590,Public Sector,2022
2022 APR,590,Public Sector,2022
2022 MAY,591,Public Sector,2022
2022 JUN,594,Public Sector,2022
2022 JUL,594,Public Sector,2022
2022 AUG,597,Public Sector,2022
2022 SEP,597,Public Sector,2022
